USERID,CUSTOM_DOUBLE1,ENDATE,CUSTOM_DOUBLE2,CUSTOM_DOUBLE3,START_DATE,PAY_GROUP,EVENT_REASON,CUSTOMSTRING21,CUSTOMSTRING22,CUSTOMSTRING23,
30000164            ,,,,,03/08/2017,P1,99P1,,,,
30000165            ,,,,,03/08/2017,P1,99P1,,,,
30000166            ,,,,,03/08/2017,P1,99P1,,,,
30000167            ,,,,,03/08/2017,P1,99P1,,,,
30000169            ,,,,,03/08/2017,P1,99P1,,,,
30000170            ,,,,,03/08/2017,P1,99P1,,,,
30000171            ,,,,,03/08/2017,P1,99P1,,,,
30000172            ,,,,,03/08/2017,P1,99P1,,,,
30000173            ,,,,,03/08/2017,P1,99P1,,,,
30000174            ,,,,,03/08/2017,P1,99P1,,,,
30000175            ,,,,,03/08/2017,P1,99P1,,,,
30000176            ,,,,,03/08/2017,P1,99P1,,,,
30000177            ,,,,,03/08/2017,P1,99P1,,,,
30000178            ,,,,,03/08/2017,P1,99P1,,,,
30000179            ,,,,,03/08/2017,P1,99P1,,,,
30000180            ,,,,,03/08/2017,P1,99P1,,,,
30000181            ,,,,,03/08/2017,P1,99P1,,,,
30000182            ,,,,,03/08/2017,P1,99P1,,,,
30000183            ,,,,,03/08/2017,P1,99P1,,,,
30000184            ,,,,,03/08/2017,P1,99P1,,,,
30000185            ,,,,,03/08/2017,P1,99P1,,,,
30000186            ,,,,,03/08/2017,P1,99P1,,,,
30000187            ,,,,,03/08/2017,P1,99P1,,,,
30000188            ,,,,,03/08/2017,P1,99P1,,,,
30000189            ,,,,,03/08/2017,P1,99P1,,,,
30000190            ,,,,,03/08/2017,P1,99P1,,,,
30000191            ,,,,,03/08/2017,P1,99P1,,,,
30000192            ,,,,,03/08/2017,P1,99P1,,,,
30000193            ,,,,,03/08/2017,P1,99P1,,,,
30000194            ,,,,,03/08/2017,P1,99P1,,,,
30000195            ,,,,,03/08/2017,P1,99P1,,,,
30000196            ,,,,,03/08/2017,P1,99P1,,,,
30000197            ,,,,,03/08/2017,P1,99P1,,,,
30000198            ,,,,,03/08/2017,P1,99P1,,,,
30000199            ,,,,,03/08/2017,P1,99P1,,,,
30000200            ,,,,,03/08/2017,P1,99P1,,,,
30000201            ,,,,,03/08/2017,P1,99P1,,,,
30000202            ,,,,,03/08/2017,P1,99P1,,,,
30000203            ,,,,,03/08/2017,P1,99P1,,,,
30000204            ,,,,,03/08/2017,P1,99P1,,,,
30000205            ,,,,,03/08/2017,P1,99P1,,,,
30000206            ,,,,,03/08/2017,P1,99P1,,,,
30000207            ,,,,,03/08/2017,P1,99P1,,,,
30000208            ,,,,,03/08/2017,P1,99P1,,,,
30000209            ,,,,,03/08/2017,P1,99P1,,,,
30000210            ,,,,,03/08/2017,P1,99P1,,,,
30000211            ,,,,,03/08/2017,P1,99P1,,,,
30000212            ,,,,,03/08/2017,P1,99P1,,,,
30000213            ,,,,,03/08/2017,P1,99P1,,,,
30000214            ,,,,,03/08/2017,P1,99P1,,,,
30000215            ,,,,,03/08/2017,P1,99P1,,,,
30000216            ,,,,,03/08/2017,P1,99P1,,,,
30000217            ,,,,,03/08/2017,P1,99P1,,,,
30000218            ,,,,,03/08/2017,P1,99P1,,,,
30000219            ,,,,,03/08/2017,P1,99P1,,,,
30000220            ,,,,,03/08/2017,P1,99P1,,,,
30000221            ,,,,,03/08/2017,P1,99P1,,,,
30000222            ,,,,,03/08/2017,P1,99P1,,,,
30000223            ,,,,,03/08/2017,P1,99P1,,,,
30000224            ,,,,,03/08/2017,P1,99P1,,,,
30000225            ,,,,,03/08/2017,P1,99P1,,,,
