OPERATOR,WORKER,JOBCOUNTRYCODE,EFECTIVESTARTDATE,
,30000372            ,PER,04/08/2017,
,30000373            ,PER,04/08/2017,
,30000374            ,PER,04/08/2017,
,30000375            ,PER,04/08/2017,
,30000376            ,PER,04/08/2017,
,30000377            ,PER,04/08/2017,
,30000378            ,PER,04/08/2017,
,30000379            ,PER,04/08/2017,
,30000380            ,PER,04/08/2017,
,30000381            ,PER,04/08/2017,
,30000382            ,PER,04/08/2017,
,30000383            ,PER,04/08/2017,
,30000384            ,PER,04/08/2017,
,30000385            ,PER,04/08/2017,
,30000386            ,PER,04/08/2017,
,30000387            ,PER,04/08/2017,
,30000388            ,PER,04/08/2017,
,30000391            ,PER,04/08/2017,
,30000392            ,PER,04/08/2017,
,30000393            ,PER,04/08/2017,
,30000395            ,PER,04/08/2017,
,30000397            ,PER,04/08/2017,
,30000398            ,PER,04/08/2017,
,30000399            ,PER,04/08/2017,
,30000400            ,PER,04/08/2017,
,30000401            ,PER,04/08/2017,
,30000402            ,PER,04/08/2017,
,30000403            ,PER,04/08/2017,
,30000404            ,PER,04/08/2017,
,30000406            ,PER,04/08/2017,
,30000407            ,PER,04/08/2017,
,30000408            ,PER,04/08/2017,
,30000409            ,PER,04/08/2017,
,30000410            ,PER,04/08/2017,
,30000411            ,PER,04/08/2017,
,30000412            ,PER,04/08/2017,
,30000413            ,PER,04/08/2017,
,30000414            ,PER,04/08/2017,
,30000415            ,PER,04/08/2017,
,30000416            ,PER,04/08/2017,
,30000418            ,PER,04/08/2017,
,30000419            ,PER,04/08/2017,
,30000420            ,PER,04/08/2017,
,30000421            ,PER,04/08/2017,
,30000422            ,PER,04/08/2017,
,30000423            ,PER,04/08/2017,
,30000424            ,PER,04/08/2017,
,30000425            ,PER,04/08/2017,
,30000426            ,PER,04/08/2017,
,30000427            ,PER,04/08/2017,
,30000428            ,PER,04/08/2017,
,30000429            ,PER,04/08/2017,
,30000430            ,PER,04/08/2017,
,30000431            ,PER,04/08/2017,
,30000432            ,PER,04/08/2017,
,30000433            ,PER,04/08/2017,
,30000434            ,PER,04/08/2017,
,30000435            ,PER,04/08/2017,
,30000436            ,PER,04/08/2017,
,30000437            ,PER,04/08/2017,
,30000438            ,PER,04/08/2017,
,30000439            ,PER,04/08/2017,
,30000440            ,PER,04/08/2017,
,30000441            ,PER,04/08/2017,
,30000442            ,PER,04/08/2017,
,30000443            ,PER,04/08/2017,
,30000444            ,PER,04/08/2017,
,30000445            ,PER,04/08/2017,
,30000446            ,PER,04/08/2017,
,30000447            ,PER,04/08/2017,
,30000448            ,PER,04/08/2017,
,30000449            ,PER,04/08/2017,
,30000450            ,PER,04/08/2017,
,30000451            ,PER,04/08/2017,
,30000452            ,PER,04/08/2017,
,30000453            ,PER,04/08/2017,
,30000454            ,PER,04/08/2017,
,30000455            ,PER,04/08/2017,
,30000456            ,PER,04/08/2017,
,30000457            ,PER,04/08/2017,
,30000458            ,PER,04/08/2017,
,30000459            ,PER,04/08/2017,
,30000460            ,PER,04/08/2017,
,30000461            ,PER,04/08/2017,
,30000462            ,PER,04/08/2017,
,30000463            ,PER,04/08/2017,
,30000464            ,PER,04/08/2017,
,30000465            ,PER,04/08/2017,
,30000466            ,PER,04/08/2017,
,30000467            ,PER,04/08/2017,
,30000468            ,PER,04/08/2017,
,30000469            ,PER,04/08/2017,
,30000470            ,PER,04/08/2017,
,30000471            ,PER,04/08/2017,
,30000472            ,PER,04/08/2017,
,30000473            ,PER,04/08/2017,
,30000474            ,PER,04/08/2017,
,30000475            ,PER,04/08/2017,
,30000476            ,PER,04/08/2017,
,30000477            ,PER,04/08/2017,
,30000478            ,PER,04/08/2017,
,30000479            ,PER,04/08/2017,
,30000480            ,PER,04/08/2017,
,30000481            ,PER,04/08/2017,
,30000482            ,PER,04/08/2017,
,30000483            ,PER,04/08/2017,
,30000484            ,PER,04/08/2017,
,30000485            ,PER,04/08/2017,
,30000486            ,PER,04/08/2017,
,30000487            ,PER,04/08/2017,
,30000488            ,PER,04/08/2017,
,30000489            ,PER,04/08/2017,
,30000490            ,PER,04/08/2017,
,30000491            ,PER,04/08/2017,
,30000492            ,PER,04/08/2017,
,30000493            ,PER,04/08/2017,
,30000495            ,PER,04/08/2017,
,30000496            ,PER,04/08/2017,
,30000497            ,PER,04/08/2017,
,30000498            ,PER,04/08/2017,
,30000499            ,PER,04/08/2017,
,30000500            ,PER,04/08/2017,
,30000502            ,PER,04/08/2017,
,30000503            ,PER,04/08/2017,
,30000504            ,PER,04/08/2017,
,30000505            ,PER,04/08/2017,
,30000507            ,PER,04/08/2017,
