USERID,STARTDATE,ENDATE,SEQNUMBER,PAYCOMPONENT,PAYCOMPVALUE,CURRENCY_CODE,FREQUENCY,IS_TARGET,NOTES,OPERATION,
30000203            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000204            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000205            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000206            ,03/08/2017,,,9001,950.0000,PEN,MON,,,,
30000207            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000208            ,03/08/2017,,,9001,1500.0000,PEN,MON,,,,
30000209            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000210            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000211            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000212            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000213            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000214            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000215            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000216            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000217            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000218            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000219            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000220            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000221            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000222            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000223            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000224            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000225            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000226            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000227            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000228            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000229            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000230            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000231            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000232            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000233            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000234            ,03/08/2017,,,9001,1325.0000,PEN,MON,,,,
30000235            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000236            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000237            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000238            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000239            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000240            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000241            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000242            ,03/08/2017,,,9001,2600.0000,PEN,MON,,,,
30000243            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000245            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000246            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000247            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000248            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000249            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000250            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000251            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000252            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000253            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000254            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000255            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000257            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000258            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000260            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000261            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000262            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000263            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000264            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000265            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000266            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000267            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000268            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000269            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000270            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000271            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000272            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000273            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000274            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000275            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000276            ,03/08/2017,,,9001,2200.0000,PEN,MON,,,,
30000277            ,03/08/2017,,,9001,2200.0000,PEN,MON,,,,
30000278            ,03/08/2017,,,9001,1800.0000,PEN,MON,,,,
30000279            ,03/08/2017,,,9001,1800.0000,PEN,MON,,,,
30000280            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000281            ,03/08/2017,,,9001,1200.0000,PEN,MON,,,,
30000282            ,03/08/2017,,,9057,1000.0000,PEN,MON,,,,
30000283            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000284            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000285            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000286            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000287            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000288            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000289            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000291            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000292            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000293            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000294            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000295            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000296            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000297            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000298            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000299            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000300            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000301            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000302            ,03/08/2017,,,9001,510.0000,PEN,MON,,,,
30000303            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
30000304            ,03/08/2017,,,9001,850.0000,PEN,MON,,,,
